description,prob_type
"Assigned to Fresh Air Company  P526023


LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE CECIL KIRK RECREATION CENTER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS - CONTACT THE FACILITY MAINTENANCE COORDINATOR, WALLY STEPHENSON (443-580-9636) ONE WEEK IN ADVANCE TO PROVIDE A SCHEDULE FOR ENTRANCE TO BUILDINGS",HVAC
"Assigned to Denver Elek  P526021 

LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE MOUNT ROYAL RECREATION CENTER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS - CONTACT THE FACILITY MAINTENANCE COORDINATOR, WALLY STEPHENSON (443-580-9636) ONE WEEK IN ADVANCE TO PROVIDE A SCHEDULE FOR ENTRANCE TO BUILDINGS",HVAC
"Assigned to Denver Elek  P526021

LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE SAMUEL F. B. MORSE RECREATION CENTER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS - CONTACT THE FACILITY MAINTENANCE COORDINATOR, WALLY STEPHENSON (443-580-9636) ONE WEEK IN ADVANCE TO PROVIDE A SCHEDULE FOR ENTRANCE TO BUILDINGS",HVAC
"Assigned to Fresh Air Company  P526023

LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE PATTERSON PARK/V.S. BAKER RECREATION CENTER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS - CONTACT THE FACILITY MAINTENANCE COORDINATOR, WALLY STEPHENSON (443-580-9636) ONE WEEK IN ADVANCE TO PROVIDE A SCHEDULE FOR ENTRANCE TO BUILDINGS

Completed on 11/20/14",HVAC
"Assigned to J.F.Fischer  P526184 

LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE MORRELL PARK RECREATION CENTER - THIS WORK IS TO BE ASSIGNED TO J.F. FISHER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS - CONTACT THE FACILITY MAINTENANCE COORDINATOR, WALLY STEPHENSON (443-580-9636) ONE WEEK IN ADVANCE TO PROVIDE A SCHEDULE FOR ENTRANCE TO BUILDINGS",HVAC
"Assigned to J.F.Fischer   P526184

Repair heat pump units for floor heat.
Req. 66136
Officer in charge
410-396-1226

Wycliffe Eccles

J.F. Fischer notified.      Spoke to Jason Comegys.",HVAC
"Assigned to J.F.Fisher P526184


Perform PM service on Roof Top Units, change filters, belts, lubricate motors and bearings, clean condenser coils.
Req. 66145
Officer in charge
410-396-5689

Wycliffe Eccles

J.F. Fischer notified.      Spoke to Jason Comegys.",HVAC
water damaged ceiling tile.  needs to be assessed to find source of water.  Possibly sprinkler system leak.    side hallway to the right of elevators by stairwell #2.,Plumbing
Install combination light/exhaust fan in 1st Flr Restroom. Req. 66132 Officer in charge 410-396-9351  Jim Fisher,Electrical
INVESTIGATE AND MAKE NECESSARY REPAIRS TO THE LEAKING PUMP CONNECTOR IN THE BASEMENT BY THE AQUATICS SECTION - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED,HVAC
,Electrical
,Electrical
,Plumbing
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
Storage space being converted into office for incoming supervisor.  Estimate has already been completed.  This is an urgent need project.  Needs to be completed as soon as possible.  We have already been informed that all factors of this project will take place simultaneously.,Electrical
,Electrical
Replace toilet seats in the 1st Flr Public Restroom and the 2nd Flr Men's Room. Req. 66119 Officer in charge 410-396-6231  Anne Braun,Plumbing
Replace light switch for Female Bunkroom. Req. 66124 Officer in charge 410-396-6231  Anne Braun,Electrical
,Electrical
,Electrical
,Electrical
,Electrical
,Plumbing
,Electrical
,Plumbing
"There is no heat or AC in the DDU office (old courtroom)

Assign to Fresh Air - P526023",HVAC
"Assigned to Mitchell Plumbing  P518386

Need someone to come out an unclog the sump pumps. The water will not go down.

Contact Person: Demetric Farmer 410-396-2706

The best day to do this procedure is on a Monday, because the operation is slow on that day.",Plumbing
"#39 N.D.C. 1401 Hollins St, Provide repairs to Heat controls. No heat in building. Contact Rick Fisher at 443-250-0246.

Assign to Fresh Air -  P526023",HVAC
"Assigned to Mitchrll Plmbing P518386

Clear blockage in sanitary line, sewage backing up in 1st Flr Restroom.
Req. 66127
Officer in charge
Completed on 10/10/14
410-396-1202

Wycliffe Eccles/Ferdinand DeLara/Sergio

Mitchell Plumbing notified on 10/10/14.",Plumbing
,Plumbing
,Plumbing
,Plumbing
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
"""Just spoke to Terry Howell.
the tower light needs a bulb replecement.. i beleive it it a sodium vapor fixture.. in a very awkward position.. but it keeps going out during events much like the parking lot light which seems to work perfectly now that the bulb has been replaced.
we are closed on Mondays but open tuesday thru thursday from 9 am - 5:30 pm""",Electrical
,Electrical
,Electrical
,Electrical
,Electrical
Urinal in mens bathroom clogged and almost overflowing. Contact: Doug Kerr,Plumbing
,HVAC
CHECKED UNITS & CALIBRATE THERMOSTAT,HVAC
REBUILT URINAL,Plumbing
REBUILT TOILET IN LADIES ROOM,Plumbing
CHECKED ALL BATHROOMS FOR LOOSE TOILET SEATS & OTHER PLUMBING ISSUES,Plumbing
TROUBLESHOT MONITORS IN JURY ROOM,Electrical
REPLACE BALLAST IN FILE ROOM,Electrical
CHANGED LIGHT IN OFFICE,Electrical
RESET BREAKER IN LUNCH ROOM,Electrical
REPLACED BALLAST IN MAIN OFFICE,Electrical
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED VALVE",Plumbing
"UNCLOGGED TOILET, ADJUSTED WATER LEVEL & TIGHTENED SEAT",Plumbing
UNCLOGGED TOILET & TIGHTENED SEAT,Plumbing
"REMOVED DIAPHRAM FROM URINAL, CLEANED OUT SCALE, REINSTALLED",Plumbing
"URGENT - Toilet water is flowing from the bottom part onto the floor , may need a seal .  Supervisors trailer",Plumbing
2 0f 3 toilets in the mens room at the gunpowder range are not working and one constantly runs and is leaking water all over the floor.  contact gt Scarborough 410-592-9173,Plumbing
"Mr. Harpreet Singh, condensate drain pan needs to be seal. leaking water on floor.  assign to JCI",HVAC
,HVAC
,HVAC
"INSPECT THE DE-HUMIDIFICATION SYSTEM AT CHERRY HILL INDOOR POOL AND PROVIDE RECOMMENDATIONS FOR REPAIR ALONG WITH QUOTE - UPON APPROVAL, PROCEED WITH REPAIR

Assign to Denver-Elek (P526021)",HVAC
,Plumbing
,Plumbing
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED VALVE",Plumbing
"REPLACED LIGHTS, CHECKED WIRES FOR SHORTS, RESET BREAKER",Electrical
UNCLOGGED TOILET IN JURY ASSEMBLY ROOM,Plumbing
"REPAIRED OUTLET IN HALLWAY, CHECKED FOR SHORTS, RESET BREAKER",Electrical
"REPAIRED WIRE TO BALLAST, CHECKED FOR SHORTS, REINSTALLED",Electrical
"2nd floor mens bathroom urinal does not flush electronically, manual flush button does not work either. it is the urinal to the right when you walk into the bathroom....contact info: Police officer Huth 410-396-2466 or George 443-923-7334",Plumbing
Provide labor and materials to replace lights in 2nd floor ladies restroom,Electrical
,HVAC
toilet in the bathroom is leaking causing the floor to flood in the stalls and out into the hallway. The bathroom is closest to the police enterance and it is the third toilet closest to the door. Contact Police Officer Huth or George 410-396-2466.,Plumbing
Provide labor and materials to do preventive maintenance plumbing and check fire extinguishers,Plumbing
Provide labor and materials to do preventive maintenance on plumbing and also check fire extinguishers,Plumbing
Provide labor and materials to do preventive maintenance on plumbing and also check fire extinguishers,Plumbing
"REPAIRED LIGHT, REPLACED BALLAST & WIRED FIXTURE",Electrical
REPLACED BLOWN LIGHTS & BALLAST,Electrical
"REMOVED DIAPHRAM FROM TOILET, FLUSHED OUT SCALE, TIGHTENED SEAT, REINSTALLED DIAPHRAM",Plumbing
CLEANED FILTERS FOR WINDOW UNITS IN OFFICE,HVAC
CHECKED & ADJUSTED EXHAUST FAN TIMER FOR 1ST. FLOOR RESTROOMS,HVAC
"REPLACED DIAPHRAM IN TOILET, ADJUSTED WATER FLOW & TIGHTENED SEAT",Plumbing
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED",Plumbing
REPLACED DIAPHRAM IN TOILET & TIGHTENED SEAT,Plumbing
LIghts needs replaced in Randy Crout's office  contact Alison Phillips 6-3746 or Randy Crout 6-1139,Electrical
girls bathroom in classroom 6 is overflowing,Plumbing
,Electrical
,Electrical
,Plumbing
,Plumbing
,HVAC
,HVAC
replace blown screw in bulbs in basement storeage areas police/fire sides,Electrical
light out in hallway,Electrical
provide labor and materials to do preventive maintenance and check fire extinguishers,Plumbing
Provide labor and materials to do preventive maintenance on plumbing and check fire extinguishers,Plumbing
,Electrical
,Electrical
"UNCLOGGED SINK, REMOVED TRAP, CLEANED OUT DEBRIS, REINSTALLED",Plumbing
CLEANED SOOT COMING FROM RETURN DUCT,HVAC
REPLACED BLOWN OUT BULB IN HALLWAY,Electrical
RESET BREAKER IN ROOM 126,Electrical
CLEARED CONDENSATE DRAIN IN UNIT 46,HVAC
"REMOVED DIAPHRAM FROM TOILET, FLUSHED OUT SCALE, REINSTALLED",Plumbing
"REPLACED OUTLET IN LOBBY, CHECKED FOR SHORTS, RESET BREAKER",Electrical
,Electrical
,Electrical
,Plumbing
,Electrical
"REMOVED BRACKET, FIXED FAUCET IN MEN'S RESTROOM",Plumbing
"REMOVED BRACKET, FIXED FAUCET IN MEN'S RESTROOM",Plumbing
"REMOVED BRACKET, FIXED FAUCET IN MEN'S ROOM",Plumbing
UNCLOGGED SINK IN LADIES RESTROOM,Plumbing
UNCLOGGED SINK IN MEN'S RESTROOM,Plumbing
UNCLOGGED TOILET IN MEN'S ROOM,Plumbing
ADJUSTED UNIT ON (2) OFFICES,HVAC
REBUILT HANDICAP TOILET,Plumbing
FIXED TOILET SET IN LADIES RESTROOM & REPLACED BLOWN OUT LIGHT,Plumbing
"WORKED ON PANIC BAR, ADJUSTED & LUBRICATED",Electrical
,Electrical
,Electrical
Provide labor and materials to install Toilet paper dispenser in women's restroom,Plumbing
Provide labor & materials to repair light fixtures in 911/311 private womens restroom.  Ballasts was replaced.  CC 10/07/14,Electrical
Provide labor & materials to repair lights in elevator.,Electrical
INVESTIGATED LEAKS THROUGHOUT BLDG. SINKS & TOILETS,Plumbing
RESET BREAKER IN COURTROOM,Electrical
"TOO WARM COMPLAINT, CHECKED SPACE & UNITS MADE ADJUSTMENTS TO METASY UNIT",HVAC
"REMOVED TRAP FROM SINK, CLEARED DEBRIS, REINSTALLED",Plumbing
"REPAIRED OUTLET ON STAGE, CHECKED FOR SHORTS, RESET BREAKER",Electrical
PLACED ORANGE GELS OVER LIGHTS ON 11TH & 2ND FLOORS,Electrical
Repair shoreline for Medic unit. Req. 66101 Officer in charge 410-396-1226  Anne Braun,Electrical
Please provide labor and materials to repair an overflowing toilet in the staff men's restroom on the STD side of the clinic.,Plumbing
Please provide labor and material to repair Circulating Pump for AHU #1.   Assigned to JCI,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
please send repairman to replace numerous 4 foot bulbs on first floor. the file room in clerks office may need a ballast replaced,Electrical
,Plumbing
REPLACED TOILET SEAT & ADJUSTED WATER LEVEL,Plumbing
Provide labor and materials to install 3 light switches in 2 offices  1 conference room on the 6th floor,Electrical
REPLACED LIGHT SWITCH,Electrical
REPAIRED LIGHT FIXTURE IN CITISTAT AREA,Electrical
ADJUSTED AIR PRESSURE IN LAWYER'S OFFICE,HVAC
"REPLACED DIAPHRAM IN TOILET, ADJUSTED WATER LEVEL & TIGHTENED SEAT",Plumbing
"Assigned to Mitchell Plumbing P518386

Clear blockage in sanitary line, all sinks on 1st Flr backing up.
Req. 67975
Officer in charge
410-396-1206

Wycliffe Eccles

Mitchell Plumbing notified.",Plumbing
Change non-working light bulbs at this location asap.  Contact person is Debbie (410-396-0230).  NOTE:  This work has already been completed.,Electrical
Change non-working light bulbs in cement room at this lication asap.  Contact person is Debbie (410-396-0230).  NOTE:  This work has already been completed.,Electrical
Please provide labor and materials to replace a blown fuse in an examination room @ the STD clinic.,Electrical
"Assigned to Denver Elek P522937

general preventive maintainance on boiler units  for  start up

PROVIDE COMBUSTION ANALYSIS TEST REPORT FOR ALL BOILERS SERVICES",HVAC
"Assigned to Mitchell Plumbing  P518386

Clear blockage in sanitary main, sewage backing up in station.
Req. 67973
Officer in charge
410-396-1235

Wycliffe Eccles

Completed on 10-06-14",Plumbing
"Assigned to Fres Air  P526023


LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE FRED B. LEIDIG RECREATION CENTER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS.",HVAC
"Assigned to J.F.Fischer P526184
LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE CYLBURN GREENHOUSE - THIS WORK IS TO BE ASSIGNED TO J. F. FISHER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS.",HVAC
"Assigned to Fresh Air P526023

LABOR AND MATERIALS TO PERFORM ALL NECESSARY PM (PREVENTIVE MAINTENANCE) TO THE HEATING SYSTEM AT THE BALTIMORE ROWING AND WATER RESOURCE CENTER - TECHNICIANS ARE ASKED TO PROVIDE A FACT SHEET UPON COMPLETION AT EACH SITE TO REFLECT THE FOLLOWING: LOCATION, TYPE OF HEATING SYSTEM TO INCLUDE WHETHER IT'S GAS OR ELECTRIC, MAKE, MODEL NUMBER AND SERIAL NUMBER, FILTER SIZE, ALSO, INCLUDE INSTALLATION DATE OR MANUFACTURERS DATE TO GET SOME INDICATION OF HOW OLD THE SYSTEM IS.",HVAC
,Plumbing
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
Provide labor and materials to do preventive maintenance Handi-Cap toilet in men's restroom needs to be replaced in same restroom 3 faucets.,Plumbing
Provide labor and materials to do preventive maintenance in the women's Restroom in basement replace 3 faucets  1 soap dispencer,Plumbing
Provide labor and materials to do preventive maintenance 1st floor Men's restroom 3 faucets 1 soap dispenser and 1 paper towel dispenser and tissue paper dispenser and flush ometor for urinal.,Plumbing
Repair toilet in women's restroom 3rd stall 1 paper towel dispenser and 1 soap dispenser.,Plumbing
Do preventive maintenance on the State side men's restroom 2 toilet seats needed 1 faucet.,Plumbing
Provide labor and materials to do preventive maintenance women's restroom 2 toilet seats,Plumbing
"CHECKED ALL FLOOD LIGHTS, REPAIRED WHAT COULD REPAIR/ORDERED PARTS FOR OTHERS",Electrical
"REPLACED OUTLET ON STAGE, CHECKED FOR SHORTS, RESET BREAKER",Electrical
REPLACED CARTRIDGE IN FAUCET,Plumbing
in referance to WRQ #16106 materials only  CC 09/02/14,Electrical
clean plumbing room,Plumbing
"CHECKED ALL LIGHTS, CLEANED OUT WATER, RESET BREAKER",Electrical
HELPED ERIC REPLACE LIGHT BULBS,Electrical
"REPLACED FLUSHOMETER ON URINAL, ADJUSTED WATER LEVEL",Plumbing
UNCLOGGED TOILET IN LADIES  & MENS RESTROOM,Plumbing
UNCLOGGED TOILET IN LADIES  RESTROOM,Plumbing
"REMOVED DIAPHRAM FROM TOILET, FLUSHED OUT SCALE, REINSTALLED DIAPHRAM",Plumbing
"REMOVED SUMP PUMP, CLEANED INTAKE & WELL, REINSTALLED PUMP",Plumbing
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED",Plumbing
"CHECKED LIGHT FOR WATER, CHECKED FOR SHORTS, RESET BREAKER",Electrical
REWIRED BUZZER ON DOOR,Electrical
"Assigned to Denver Elek  P522937


Perform PM service on oil fired boiler, including fireside cleaning.  Lubricate all motors and bearing assemblies.
Req. 67951
Officer in charge
410-396-1239

Wycliffe Eccles",HVAC
"Assigned to Denver Elek Company  P522937

Perform PM service on oil fired boiler, including fireside cleaning.  Lubricate all motors and bearing assemblies.
Req. 67954
Officer in charge
443-984-1529

Wycliffe Eccles",HVAC
"Assigned to Denver Elek Company P522937

Perform PM service on oil fired boiler, including fireside cleaning.  
Req. 67955
Officer in charge
410-396-0452

Wycliffe Eccles",HVAC
"Assigned to Denver Elek Company  P522937

Perform PM service on oil fired boiler, including fireside cleaning.  Lubricate all motors and bearing asemblies.
Req. 67956
Officer in charge 
410-396-6221

Wycliffe Eccles",HVAC
"Assigned to Denver Elek  P522937

Perform PM service on two oil fired boilers, including fireside cleaning.  Lubricate all motors and pumps.
Req. 67957
Officer in charge
410-396-6243

Wycliffe Eccles",HVAC
"Assigned to Denver Elek  

Perform PM service on oil fired boiler, including fireside cleaning.  Lubricate all motors and bearing assemblies.
Req. 67961
Officer in charge
410-396-6231

Wycliffe Eccles",HVAC
"Assigned to Denver Elek P522937

Perform PM service on oil fired boiler, including fireside cleaning.  Lubricate all motors and bearing assemblies.
Req. 67962
Officer in charge
410-396-1785

Wycliffe Eccles",HVAC
"Assigned to Denver Elek P522937

Perform PM service on oil fired boiler, including fireside cleaning.  Lubricate all motors and pumps.
Req. 67963
Officer in charge
410-396-1785

Wycliffe Eccles",HVAC
"Assigned to Denver Elek P522937

Perform PM service on oil fired boiler, including fireside cleaning.
Req. 67964
Officer in charge
410-396-6964

Wycliffe Eccles",HVAC
Please provide labor and materials to add a new electrical outlet in the lunchroom of the STD clinic.,Electrical
,HVAC
,HVAC
,Electrical
"Check a/c on the 5th floor, temp. on thermostats reading 78 to 80 degrees. 
A check of the other floors in headquarters show temps. between 78 to 80 degrees also. Blowers working but not blowing cold air. 
Contact: Doug Kerr 

Contact: Josh Galemore at 410-241-5977
Assign to: J.F. Fisher P527798",HVAC
"Assigned to Denver Elek P522937

Perform PM service to oil fired boiler, including fireside cleaning.  Lubricate all motors and bearing assemblies.
Req. 67959
Officer in charge
410-396-0430
Wycliffe Eccles
Completed on 11-19-14",HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
Needs dedicated light switch in room 460M.  Pleas address as soon as possble.  Contact Michael Beane- 443-867-5430   Attention: Terry Howell,Electrical
UNCLOGGED TOILET & SINK ON MAIN FLOOR,Plumbing
UNCLOGGED SINK IN RESTROOM & REPAIRED SOAP DISPENSER,Plumbing
REPAIRED LIGHTING,Electrical
"STOPPED FLUSHOMETER, MOPPED UP WATER",Plumbing
backwash swining pool,Plumbing
REPAIRED LIGHTING,Electrical
RESTROOM FLOODED DUE TO LOOSE FLUSHOMETER,Plumbing
"REBUILT MOTOR, WAITING FOR RELIEF VALVE",Plumbing
REPAIRED LIGHTING,Electrical
"REMOVED SUB PUMP, CLEANED INTAKE  & DEBRIS FROM PIT, REINSTALLED",Plumbing
CHANGED LIGHTS IN RESTROOM,Electrical
REPAIRED LIGHTING,Electrical
ADJUSTED UNSTABLED TOILET,Plumbing
RESET BREAKER IN OFFICE,Electrical
ADJUSTED THERMOSTAT IN COURTROOM - TOO HOT,HVAC
Provide material to install an electrical outlet in lobby area for a  display monitor.,Electrical
FINISHED ALL UNITS @ CITY HALL,HVAC
REPLACED BLOWN LIGHTS IN HALLWAY,Electrical
ASSISTED CONTRACTOR WORKING ON UNIT #9,HVAC
CHANGED LIGHTS & RESET BREAKER,Electrical
MET WITH CONTRACTOR TO CHANGE THERMOSTAT & BLEED HEATING VALVE,HVAC
"REMOVED DIAPHRAM FROM TOILET, CLEANED OUT SCALE, REINSTALLED",Plumbing
"REMOVED DIAPHRAM FROM URINAL, CLEANED OUT SCALE, ADJUSTED WATER, REINSTALLED",Plumbing
"REPAIRED LIGHT SWITCH, CHECKED FOR SHORTS, RESET BREAKER",Electrical
"Change from air conditioning to heat at this location asap.  Include preventative maintenance.  Contact person is Robert Ritenour (410-361-9372).

Assigned to J.F.Fisher - P526184",HVAC
"Assigned to J.F.Fischer  P526184

Relocate gas line for stove.
Req. 67947
Officer in charge
410-396-1258

Wycliffe eccles

J.F. Fischer notified.",Plumbing
"AHU # 1 leaking water from Actuator in sub-basement, Please inspect and repair.  Contact Will Carrington  410-365-8098 Assign to JCI",HVAC
"Please provide labor & materials to replace light bulbs in Druids Dental Clinic rooms A, B and C.   Valerie Anderson is the contact person 410-396-0840.",Electrical
"Per Ericka P. King of Tooney Town 410-467-8117, The first toilet on the left in the preschool bathroom will not stop running.  We flushed the toilet at 12:00 noon and it is still flushing at 12:37pm. Can you send someone to take a look at it please.  Thank you.",Plumbing
"Per Ronald Bailey 6-4830, there are two banks of lights that are out.  Please verify with Mr. Bailey of Councilman Henry's Office.",Electrical
,HVAC
,Electrical
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
,HVAC
Repair 10 faucets in female bathroom eastwing,Plumbing
Replace extirior light with motion westside of building,Electrical
CHECK UNIT & SPACE MADE ADJUSTMENTS TO METASYS - COLD COMPLAINT,HVAC
REPLACED BLOWN LIGHTS IN HALLWAY,Electrical
MET WITH CONTRACTOR TO PERFORM PM ON A/C UNITS IN COMPUTER ROOM & CLEAN ROOFTOP UNIT,HVAC
MET WITH CONTRACTORS TO DO REPAIRS ON EXHAUST FAN #2,HVAC
STAPLED HANGING CORDS TO BASE OF WALL,Electrical
INSTALLED ELECTRICAL OUTLETS,Electrical
"Assigned to Fresh Air P526023

INVESTIGATE AND MAKE NECESSARY REPAIRS TO THE AIR CONDITIONING UNIT AT OLIVER RECREATION CENTER - IT IS NOT WORKING ON THE REC SIDE",HVAC
We have at least three wall A/C units blowing warm air.   contact alison phillips 6-3746,HVAC
Clear blocked drain for right hand sink in Ladies Room. Director Eckard 410-396-3082  Charles Claridy,Plumbing
,Electrical
,Electrical
,Plumbing
"Wall units blowing ""tepid"" air on the 8th floor.  contact Marge Mosetti 6-3744 or Alison Phillips 6-3746",HVAC
"3rd Floor Womens Restroom: Reported that water in the toilets has an orangish color. Although same is not visibly noticeable at the faucets, please look into this for possible problems.  You may contact Ms. Portia Pettiford at 410-396-5845 or Ms. Peggy Webster at 410-396-5846  Thank you, Kevin Wight 410-545-6290",Plumbing
,Plumbing
,Plumbing
,Plumbing
"On the 2nd floor at the top of the steps, the women""s restroom lighting over the toilet is not working. There is no window in that bathroom ,so with the light being out of service no one can use that bathroom.",Electrical
need electrician to place a whip into outlets,Electrical
"REMOVED DIAPHRAM FROM URINAL, FLUSH OUT SCALE, REINSTALLED DIAPHRAM",Plumbing
UNCLOGGED TOILET & TIGHTENED SEAT,Plumbing
Provide labor and materials to unstop sink in Policemen's restroom,Plumbing
Provide labor and materials to replace lights in hallway,Electrical
Provide labor and materials to replace lights in female restroom 2nd floor,Electrical
CHECKED & CALIBRATE SETTING ON ALL ROOF TOP UNITS,HVAC
REPAIRED DRAIN PLATE ON FRONT STEPS,Plumbing
"REPAIRED OUTLET ON WALKWAY, CHECKED FOR SHORTS, RESET BREAKER",Electrical
Assigned to Fresh Air P526023  Please provide labor & materials to repair the leaking radiator in room 237.  Vincent Marsiglia 410-396-7896.,HVAC
the light in the basement bathroom next to the range is not working. And the light in the females locker room on the 2 nd floor flicker on and off.,Electrical
A toilet in the womens bathroom is clogged.  contact Charles Claridy 410-396-2252,Plumbing
"In the Deputy Director's office (6th Floor) the air conditioning are leaking water. Need to be investigated.  Urgent!! 10/1/14 SVR, After further investigation there is no water leak at the moment. waiting for Deputy Director to show us what her concern is.",HVAC
,Electrical
"I
Assigned to Denver Elek P526021

NVESTIGATE AND MAKE NECESSARY REPAIRS TO THE MOTOR IN THE HVAC ROOM - IT IS MAKING A LOUD NOISE",HVAC
,HVAC
Provide labor and materials to unclog sink women's restroom 1st floor,Plumbing
"Per Lorreta Townes 410-354-2800,EMPLOYEE BATHROOM TOILET IS STOPPED UP",Plumbing
Security light on the civil defense building out.  Lights out in one ceiling fixture in the garage.  Contact Chuck Doyle at 410-795-2474,Electrical
,HVAC
,HVAC
,HVAC
,Electrical
,Electrical
"Assigned to Denver Elek P522937
Routine furnace PM",HVAC
"Repair lighting circuit on 2nd Flr of station, no lights operating. Req. 67935 Officer in charge 410-396-0447  Jim Fisher",Electrical
Please provide labor and materials to replace light bulbs in the women's restroom on the STD side of the building.,Electrical
,Electrical
,Electrical
PROVIDE LABOR AND MATERIAL TO REPAIR RTU-3.  COMPLETED BY J F FISCHER.  P526022,HVAC
Please provide labor and materials to replace light bulbs. Light bulbs are on sight.,Electrical
Replace all non-working light bulbs in storeroom area at this location asap.  Contact person is Debbie (410-396-0203).,Electrical
